"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 16:34:53 GMT 2021","Wed Aug 11 16:35:00 GMT 2021","6622","tests","tc8_adatlementes_feluletrol_test","","","","test_adatlementes_feluletrol",""
"passed","Wed Aug 11 16:33:55 GMT 2021","Wed Aug 11 16:34:05 GMT 2021","9669","tests","tc3_adatkezeles_test","","","","test_adatkezeles",""
"broken","Wed Aug 11 16:34:43 GMT 2021","Wed Aug 11 16:34:53 GMT 2021","10054","tests","tc7_adatlistazas_tobboldalas_lista_bejaras_test","","","","test_adatlitazas_tobboldalas_lista_bejaras",""
"passed","Wed Aug 11 16:33:43 GMT 2021","Wed Aug 11 16:33:55 GMT 2021","12388","tests","tc2_login_logout_test","","","","test_login_logout",""
"broken","Wed Aug 11 16:34:37 GMT 2021","Wed Aug 11 16:34:43 GMT 2021","6444","tests","tc6_ismetelt_sorozatos_adatbevitel_adatforrasbol_test","","","","test_adatbevitel_adatforrasbol",""
"passed","Wed Aug 11 16:34:22 GMT 2021","Wed Aug 11 16:34:37 GMT 2021","14644","tests","tc5_adatmodosítas_torles_test","","","","test_adatmodositas_torles",""
"passed","Wed Aug 11 16:34:05 GMT 2021","Wed Aug 11 16:34:22 GMT 2021","16945","tests","tc4_ujadatbevitel_test","","","","test_ujadatbevitel",""
"passed","Wed Aug 11 16:33:36 GMT 2021","Wed Aug 11 16:33:43 GMT 2021","7422","tests","tc1_registration_test","","","","test_registration",""
