"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 15:35:48 GMT 2021","Wed Aug 11 15:36:01 GMT 2021","12617","tests","tc2_login_logout_test","","","","test_login_logout",""
"passed","Wed Aug 11 15:35:40 GMT 2021","Wed Aug 11 15:35:48 GMT 2021","8278","tests","tc1_registration_test","","","","test_registration",""
"passed","Wed Aug 11 15:36:01 GMT 2021","Wed Aug 11 15:36:11 GMT 2021","9825","tests","tc3_adatkezeles_test","","","","test_adatkezeles",""
"broken","Wed Aug 11 15:36:48 GMT 2021","Wed Aug 11 15:36:54 GMT 2021","5517","tests","tc7_adatlistazas_tobboldalas_lista_bejaras_test","","","","test_adatlitazas_tobboldalas_lista_bejaras",""
"passed","Wed Aug 11 15:36:11 GMT 2021","Wed Aug 11 15:36:28 GMT 2021","17115","tests","tc4_ujadatbevitel_test","","","","test_ujadatbevitel",""
"broken","Wed Aug 11 15:36:43 GMT 2021","Wed Aug 11 15:36:48 GMT 2021","5543","tests","tc6_ismetelt_sorozatos_adatbevitel_adatforrasbol_test","","","","test_adatbevitel_adatforrasbol",""
"passed","Wed Aug 11 15:36:28 GMT 2021","Wed Aug 11 15:36:43 GMT 2021","14742","tests","tc5_adatmodosítas_torles_test","","","","test_adatmodositas_torles",""
"broken","Wed Aug 11 15:36:54 GMT 2021","Wed Aug 11 15:36:59 GMT 2021","5578","tests","tc8_adatlementes_feluletrol_test","","","","test_adatlementes_feluletrol",""
