"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 29 16:54:31 GMT 2021","Thu Jul 29 16:54:38 GMT 2021","6694","tests","tc1_registration_test","","","","test_registration",""
"passed","Thu Jul 29 16:54:41 GMT 2021","Thu Jul 29 16:54:48 GMT 2021","6896","tests","tc3_adatkezeles_test","","","","test_adatkezeles",""
"passed","Thu Jul 29 16:54:48 GMT 2021","Thu Jul 29 16:54:53 GMT 2021","5251","tests","tc4_ujadatbevitel_test","","","","test_ujadatbevitel",""
"passed","Thu Jul 29 16:54:38 GMT 2021","Thu Jul 29 16:54:41 GMT 2021","3043","tests","tc2_login_logout_test","","","","test_login_logout",""
"passed","Thu Jul 29 16:54:53 GMT 2021","Thu Jul 29 16:55:02 GMT 2021","8368","tests","tc5_adatmodosítas_torles_test","","","","test_adatmodositas_torles",""
