"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 17:04:10 GMT 2021","Wed Aug 11 17:04:24 GMT 2021","14287","tests","tc8_adatlementes_feluletrol_test","","","","test_adatlementes_feluletrol",""
"passed","Wed Aug 11 17:02:07 GMT 2021","Wed Aug 11 17:02:15 GMT 2021","8368","tests","tc1_registration_test","","","","test_registration",""
"passed","Wed Aug 11 17:03:09 GMT 2021","Wed Aug 11 17:03:56 GMT 2021","47259","tests","tc6_ismetelt_sorozatos_adatbevitel_adatforrasbol_test","","","","test_adatbevitel_adatforrasbol",""
"passed","Wed Aug 11 17:02:28 GMT 2021","Wed Aug 11 17:02:38 GMT 2021","9690","tests","tc3_adatkezeles_test","","","","test_adatkezeles",""
"passed","Wed Aug 11 17:02:15 GMT 2021","Wed Aug 11 17:02:28 GMT 2021","12410","tests","tc2_login_logout_test","","","","test_login_logout",""
"passed","Wed Aug 11 17:02:54 GMT 2021","Wed Aug 11 17:03:09 GMT 2021","14586","tests","tc5_adatmodosítas_torles_test","","","","test_adatmodositas_torles",""
"broken","Wed Aug 11 17:03:56 GMT 2021","Wed Aug 11 17:04:10 GMT 2021","13544","tests","tc7_adatlistazas_tobboldalas_lista_bejaras_test","","","","test_adatlitazas_tobboldalas_lista_bejaras",""
"passed","Wed Aug 11 17:02:38 GMT 2021","Wed Aug 11 17:02:54 GMT 2021","16904","tests","tc4_ujadatbevitel_test","","","","test_ujadatbevitel",""
