"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 16:46:53 GMT 2021","Wed Aug 11 16:46:58 GMT 2021","5577","tests","tc7_adatlistazas_tobboldalas_lista_bejaras_test","","","","test_adatlitazas_tobboldalas_lista_bejaras",""
"broken","Wed Aug 11 16:46:58 GMT 2021","Wed Aug 11 16:47:04 GMT 2021","5572","tests","tc8_adatlementes_feluletrol_test","","","","test_adatlementes_feluletrol",""
"passed","Wed Aug 11 16:45:44 GMT 2021","Wed Aug 11 16:45:52 GMT 2021","8110","tests","tc1_registration_test","","","","test_registration",""
"passed","Wed Aug 11 16:46:32 GMT 2021","Wed Aug 11 16:46:47 GMT 2021","15019","tests","tc5_adatmodosítas_torles_test","","","","test_adatmodositas_torles",""
"passed","Wed Aug 11 16:46:05 GMT 2021","Wed Aug 11 16:46:15 GMT 2021","9760","tests","tc3_adatkezeles_test","","","","test_adatkezeles",""
"passed","Wed Aug 11 16:45:52 GMT 2021","Wed Aug 11 16:46:05 GMT 2021","12694","tests","tc2_login_logout_test","","","","test_login_logout",""
"passed","Wed Aug 11 16:46:15 GMT 2021","Wed Aug 11 16:46:32 GMT 2021","17079","tests","tc4_ujadatbevitel_test","","","","test_ujadatbevitel",""
"broken","Wed Aug 11 16:46:47 GMT 2021","Wed Aug 11 16:46:53 GMT 2021","5622","tests","tc6_ismetelt_sorozatos_adatbevitel_adatforrasbol_test","","","","test_adatbevitel_adatforrasbol",""
