"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 16:54:01 GMT 2021","Wed Aug 11 16:54:07 GMT 2021","6423","tests","tc8_adatlementes_feluletrol_test","","","","test_adatlementes_feluletrol",""
"passed","Wed Aug 11 16:52:36 GMT 2021","Wed Aug 11 16:52:52 GMT 2021","16553","tests","tc4_ujadatbevitel_test","","","","test_ujadatbevitel",""
"passed","Wed Aug 11 16:53:07 GMT 2021","Wed Aug 11 16:53:52 GMT 2021","45267","tests","tc6_ismetelt_sorozatos_adatbevitel_adatforrasbol_test","","","","test_adatbevitel_adatforrasbol",""
"broken","Wed Aug 11 16:53:52 GMT 2021","Wed Aug 11 16:54:01 GMT 2021","9108","tests","tc7_adatlistazas_tobboldalas_lista_bejaras_test","","","","test_adatlitazas_tobboldalas_lista_bejaras",""
"passed","Wed Aug 11 16:52:52 GMT 2021","Wed Aug 11 16:53:07 GMT 2021","14355","tests","tc5_adatmodosítas_torles_test","","","","test_adatmodositas_torles",""
"passed","Wed Aug 11 16:52:06 GMT 2021","Wed Aug 11 16:52:14 GMT 2021","7812","tests","tc1_registration_test","","","","test_registration",""
"passed","Wed Aug 11 16:52:26 GMT 2021","Wed Aug 11 16:52:36 GMT 2021","9503","tests","tc3_adatkezeles_test","","","","test_adatkezeles",""
"passed","Wed Aug 11 16:52:14 GMT 2021","Wed Aug 11 16:52:26 GMT 2021","12082","tests","tc2_login_logout_test","","","","test_login_logout",""
