"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 04 09:37:59 GMT 2021","Sat Sep 04 09:38:06 GMT 2021","7615","tests","tc1_registration_test","","","","test_registration",""
"passed","Sat Sep 04 09:39:57 GMT 2021","Sat Sep 04 09:40:52 GMT 2021","55086","tests","tc7_data_listing_and_multi_page_test","","","","test_data_listing_and_multi_page",""
"passed","Sat Sep 04 09:38:29 GMT 2021","Sat Sep 04 09:38:47 GMT 2021","17242","tests","tc4_new_data_test","","","","test_new_data",""
"passed","Sat Sep 04 09:38:19 GMT 2021","Sat Sep 04 09:38:29 GMT 2021","9952","tests","tc3_cookie_management_test","","","","test_cookie_management",""
"passed","Sat Sep 04 09:40:52 GMT 2021","Sat Sep 04 09:41:07 GMT 2021","14916","tests","tc8_data_download_from_interface_test","","","","test_data_download_from_interface",""
"passed","Sat Sep 04 09:38:06 GMT 2021","Sat Sep 04 09:38:19 GMT 2021","12851","tests","tc2_login_logout_test","","","","test_login_logout",""
"passed","Sat Sep 04 09:38:47 GMT 2021","Sat Sep 04 09:39:02 GMT 2021","15902","tests","tc5_data_modify_delete_test","","","","test_data_modify_delete",""
"passed","Sat Sep 04 09:39:02 GMT 2021","Sat Sep 04 09:39:57 GMT 2021","54628","tests","tc6_data_entry_from_data_source_test","","","","test_data_entry_from_data_source",""
