"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 15:27:20 GMT 2021","Wed Aug 11 15:27:26 GMT 2021","5480","tests","tc7_adatlistazas_tobboldalas_lista_bejaras_test","","","","test_adatlitazas_tobboldalas_lista_bejaras",""
"broken","Wed Aug 11 15:27:26 GMT 2021","Wed Aug 11 15:27:31 GMT 2021","5440","tests","tc8_adatlementes_feluletrol_test","","","","test_adatlementes_feluletrol",""
"passed","Wed Aug 11 15:26:33 GMT 2021","Wed Aug 11 15:26:43 GMT 2021","9670","tests","tc3_adatkezeles_test","","","","test_adatkezeles",""
"passed","Wed Aug 11 15:26:21 GMT 2021","Wed Aug 11 15:26:33 GMT 2021","12431","tests","tc2_login_logout_test","","","","test_login_logout",""
"passed","Wed Aug 11 15:26:43 GMT 2021","Wed Aug 11 15:27:00 GMT 2021","16853","tests","tc4_ujadatbevitel_test","","","","test_ujadatbevitel",""
"passed","Wed Aug 11 15:26:12 GMT 2021","Wed Aug 11 15:26:21 GMT 2021","8450","tests","tc1_registration_test","","","","test_registration",""
"broken","Wed Aug 11 15:27:15 GMT 2021","Wed Aug 11 15:27:20 GMT 2021","5468","tests","tc6_ismetelt_sorozatos_adatbevitel_adatforrasbol_test","","","","test_adatbevitel_adatforrasbol",""
"passed","Wed Aug 11 15:27:00 GMT 2021","Wed Aug 11 15:27:15 GMT 2021","14626","tests","tc5_adatmodosítas_torles_test","","","","test_adatmodositas_torles",""
